año;trimestre;provincia;poblacion;;
2014;2;La Pampa;0,33;;
2014;2;La Rioja;0,34;;
2014;2;Mendoza;1,74;;
2014;2;Misiones;1,05;;
2014;2;Neuquén;0,61;;
2014;2;Río Negro;0,69;;
2014;2;Salta;1,25;;
2014;2;San Juan;0,67;;
2014;2;San Luis;0,43;;
2014;2;Santa Cruz;0,26;;
2014;2;Santa Fe;3,31;;
2014;2;Santiago Del Estero;1;;
2014;2;Tierra Del Fuego;0,14;;
2014;2;Tucumán;1,48;;
2014;1;Buenos Aires;16,6;;
2014;1;Capital Federal;2,88;;
2014;1;Catamarca;0,36;;
2014;1;Chaco;1,1;;
2014;1;Chubut;0,54;;
2014;1;Córdoba;3,46;;
2014;1;Corrientes;1,07;;
2014;1;Entre Ríos;1,27;;
2014;1;Formosa;0,57;;
2014;1;Jujuy;0,73;;
2014;1;La Pampa;0,33;;
2014;1;La Rioja;0,34;;
2014;1;Mendoza;1,74;;
2014;1;Misiones;1,05;;
2014;1;Neuquén;0,61;;
2014;1;Río Negro;0,69;;
2014;1;Salta;1,25;;
2014;1;San Juan;0,67;;
2014;1;San Luis;0,43;;
2014;1;Santa Cruz;0,26;;
2014;1;Santa Fe;3,31;;
2014;1;Santiago Del Estero;1;;
2014;1;Tierra Del Fuego;0,14;;
2014;1;Tucumán;1,48;;
