año,trimestre,provincia,accesos por cada 100 hogares,banda ancha fija,dial up,adsl,cablemodem,fibra óptica,wireless,otros,mbps (media de bajada),poblacion
2022,3,Buenos Aires,78.11,26.8381844052362,0.03528173022196927,1.9331132612407516,15.642145702902674,8.175486624928856,0.7219464997154239,0.40077404667046107,70,17.57
2022,3,Capital Federal,122.28,49.536346153846154,0.06875,4.512532051282051,39.747596153846146,4.1416025641025636,0.18455128205128205,1.0188141025641027,101,3.12
2022,3,Catamarca,65.33,16.346976744186044,0.0002325581395348837,2.327906976744186,2.440697674418605,10.749767441860465,0.3090697674418605,0.5197674418604651,61,0.43
2022,3,Chaco,43.86,12.643947368421053,0.00043859649122807024,2.38280701754386,5.421052631578948,3.916228070175439,0.7173684210526317,0.20692982456140352,53,1.14
2022,3,Chubut,84.38,27.479000000000003,0.15066666666666667,7.562833333333334,12.035333333333334,1.5956666666666666,4.964,1.4718333333333333,16,0.6
2022,3,Córdoba,88.31,26.09547738693467,0.001708542713567839,4.114824120603015,11.695,8.50678391959799,1.5344221105527638,0.24615577889447238,56,3.98
2022,3,Corrientes,48.21,12.070166666666667,0.0003333333333333333,3.042333333333333,6.428333333333334,1.5515833333333335,0.6046666666666667,0.44358333333333333,45,1.2
2022,3,Entre Ríos,63.67,18.806783216783217,0.0015384615384615387,4.21993006993007,9.297342657342657,2.585384615384615,1.825034965034965,0.8806293706293707,42,1.43
2022,3,Formosa,43.76,11.235573770491804,0.0001639344262295082,2.372131147540984,4.242622950819673,1.8100000000000003,2.776229508196721,0.03475409836065574,30,0.61
2022,3,Jujuy,58.91,14.852874999999997,0.0,2.4071249999999997,6.622249999999999,5.0215,0.5041249999999999,0.297875,32,0.8
2022,3,La Pampa,96.59,31.330000000000002,0.046216216216216216,2.107027027027027,16.237297297297296,6.365135135135135,5.463783783783785,1.202972972972973,18,0.37
2022,3,La Rioja,80.66,22.857894736842105,0.0010526315789473684,1.8005263157894738,14.183947368421052,5.183421052631579,1.6828947368421052,0.008157894736842105,44,0.38
2022,3,Mendoza,51.03,14.365472636815923,0.03865671641791046,1.8735820895522388,3.9232835820895526,7.095273631840796,1.3743781094527365,0.13761194029850746,34,2.01
2022,3,Misiones,51.82,14.231015625000001,0.0,2.7744531250000004,6.94546875,3.05046875,0.8651562500000001,0.59546875,49,1.28
2022,3,Neuquén,80.37,22.286712328767127,0.0641095890410959,4.020821917808219,10.385616438356164,4.026849315068493,3.764657534246575,0.15287671232876712,48,0.73
2022,3,Río Negro,67.98,21.053947368421053,0.07210526315789474,4.677894736842106,6.35,5.3969736842105265,2.205263157894737,2.495921052631579,34,0.76
2022,3,Salta,57.76,14.203888888888889,0.00034722222222222224,2.778194444444445,6.735,3.4898611111111113,0.7001388888888889,0.5010416666666667,41,1.44
2022,3,San Juan,50.8,12.575365853658537,0.03426829268292683,4.703658536585366,2.77109756097561,1.5034146341463417,2.6658536585365855,0.965609756097561,16,0.82
2022,3,San Luis,81.74,22.57185185185185,0.0337037037037037,1.2703703703703701,5.437592592592592,0.045925925925925926,13.076666666666666,2.775,19,0.54
2022,3,Santa Cruz,43.19,14.943030303030303,0.05999999999999999,3.081818181818182,7.286969696969697,3.277272727272727,1.1806060606060607,0.17636363636363636,13,0.33
2022,3,Santa Fe,78.55,24.93539325842697,0.0030898876404494386,5.1612359550561795,11.973455056179775,6.044634831460674,1.2100842696629213,0.5490730337078651,45,3.56
2022,3,Santiago Del Estero,47.98,11.336190476190476,0.00019047619047619045,1.4652380952380952,7.708285714285714,1.2542857142857142,0.6302857142857142,0.2782857142857143,18,1.05
2022,3,Tierra Del Fuego,99.51,28.202105263157893,0.16421052631578947,6.712631578947367,21.033157894736842,0.2121052631578947,0.06578947368421052,0.34263157894736845,11,0.19
2022,3,Tucumán,61.14,15.475705882352942,0.0017647058823529412,4.572823529411765,1.0892941176470587,9.549705882352942,0.23511764705882351,0.030529411764705885,53,1.7
2022,2,Buenos Aires,77.58,26.528081957882755,0.03528173022196927,1.9957427433124646,15.47873079112123,7.9626807057484355,0.7219521912350597,0.40425725668753554,66,17.57
2022,2,Capital Federal,121.31,49.18673076923077,0.06875,4.663173076923077,39.49442307692308,3.894423076923077,0.18451923076923077,1.0189423076923076,94,3.12
2022,2,Catamarca,62.4,15.583023255813952,0.0002325581395348837,2.7739534883720927,2.1930232558139533,9.787674418604652,0.3090697674418605,0.5195348837209303,57,0.43
2022,2,Chaco,43.79,12.592894736842105,0.00043859649122807024,2.5922807017543863,5.375789473684211,3.701228070175439,0.7173684210526317,0.2066666666666667,51,1.14
2022,2,Chubut,83.19,26.983499999999996,0.15066666666666667,7.562833333333334,11.540333333333333,1.5956666666666666,4.964,1.4713333333333334,15,0.6
2022,2,Córdoba,87.48,25.78811557788945,0.001708542713567839,4.502035175879397,11.74861809045226,7.761180904522613,1.53535175879397,0.2426381909547739,54,3.98
2022,2,Corrientes,48.35,12.082750000000003,0.0003333333333333333,3.2056666666666667,6.3140833333333335,1.5150833333333333,0.6046666666666667,0.44358333333333333,43,1.2
2022,2,Entre Ríos,63.9,18.834265734265735,0.0015384615384615387,4.461118881118882,9.162867132867133,2.5062237762237767,1.825034965034965,0.8805594405594407,40,1.43
2022,2,Formosa,43.42,11.128032786885246,0.0,2.5240983606557377,4.178196721311475,1.6188524590163935,2.7721311475409838,0.03475409836065574,28,0.61
2022,2,Jujuy,57.32,14.41425,0.0,2.5378749999999997,6.811875000000001,4.273,0.494375,0.29712500000000003,29,0.8
