año,trimestre,provincia,accesos por cada 100 hogares,banda ancha fija,dial up,adsl,cablemodem,fibra óptica,wireless,otros,mbps (media de bajada)
2022,3,Buenos Aires,78.11,26.8381844052362,0.0352817302219692,1.933113261240752,15.642145702902674,8.175486624928856,0.7219464997154239,0.400774046670461,70
2022,3,Capital Federal,122.28,49.53634615384616,0.06875,4.512532051282051,39.74759615384615,4.141602564102564,0.184551282051282,1.0188141025641029,101
2022,3,Catamarca,65.33,16.346976744186044,0.0002325581395348,2.327906976744186,2.440697674418605,10.749767441860463,0.3090697674418605,0.5197674418604651,61
2022,3,Chaco,43.86,12.643947368421053,0.000438596491228,2.38280701754386,5.421052631578948,3.916228070175439,0.7173684210526317,0.2069298245614035,53
2022,3,Chubut,84.38,27.479000000000003,0.1506666666666666,7.562833333333334,12.035333333333334,1.5956666666666666,4.964,1.471833333333333,16
2022,3,Córdoba,88.31,26.09547738693467,0.0017085427135678,4.114824120603015,11.695,8.50678391959799,1.5344221105527638,0.2461557788944723,56
2022,3,Corrientes,48.21,12.070166666666667,0.0003333333333333,3.042333333333333,6.428333333333334,1.5515833333333335,0.6046666666666667,0.4435833333333333,45
2022,3,Entre Ríos,63.67,18.806783216783217,0.0015384615384615,4.21993006993007,9.297342657342655,2.585384615384615,1.825034965034965,0.8806293706293707,42
2022,3,Formosa,43.76,11.235573770491804,0.0001639344262295,2.372131147540984,4.242622950819673,1.8100000000000005,2.776229508196721,0.0347540983606557,30
2022,3,Jujuy,58.91,14.852874999999996,0.0,2.407125,6.622249999999999,5.0215,0.5041249999999999,0.297875,32
2022,3,La Pampa,96.59,31.33,0.0462162162162162,2.107027027027027,16.237297297297296,6.365135135135135,5.463783783783785,1.202972972972973,18
2022,3,La Rioja,80.66,22.857894736842105,0.0010526315789473,1.8005263157894738,14.183947368421052,5.183421052631579,1.6828947368421052,0.0081578947368421,44
2022,3,Mendoza,51.03,14.365472636815923,0.0386567164179104,1.8735820895522388,3.9232835820895526,7.095273631840796,1.3743781094527363,0.1376119402985074,34
2022,3,Misiones,51.82,14.231015625,0.0,2.7744531250000004,6.94546875,3.05046875,0.8651562500000001,0.59546875,49
2022,3,Neuquén,80.37,22.286712328767127,0.0641095890410959,4.020821917808219,10.385616438356164,4.026849315068493,3.764657534246575,0.1528767123287671,48
2022,3,Río Negro,67.98,21.053947368421053,0.0721052631578947,4.677894736842106,6.35,5.396973684210527,2.205263157894737,2.495921052631579,34
2022,3,Salta,57.76,14.203888888888889,0.0003472222222222,2.778194444444445,6.735,3.4898611111111117,0.7001388888888889,0.5010416666666667,41
2022,3,San Juan,50.8,12.575365853658536,0.0342682926829268,4.703658536585366,2.77109756097561,1.5034146341463417,2.665853658536585,0.965609756097561,16
2022,3,San Luis,81.74,22.57185185185185,0.0337037037037037,1.27037037037037,5.437592592592592,0.0459259259259259,13.076666666666666,2.775,19
2022,3,Santa Cruz,43.19,14.943030303030303,0.0599999999999999,3.081818181818182,7.286969696969697,3.277272727272727,1.1806060606060609,0.1763636363636363,13
2022,3,Santa Fe,78.55,24.93539325842697,0.0030898876404494,5.16123595505618,11.973455056179777,6.044634831460674,1.2100842696629213,0.5490730337078651,45
2022,3,Santiago Del Estero,47.98,11.336190476190476,0.0001904761904761,1.4652380952380952,7.708285714285714,1.2542857142857142,0.6302857142857142,0.2782857142857143,18
2022,3,Tierra Del Fuego,99.51,28.202105263157893,0.1642105263157894,6.712631578947367,21.03315789473684,0.2121052631578947,0.0657894736842105,0.3426315789473684,11
2022,3,Tucumán,61.14,15.475705882352942,0.0017647058823529,4.572823529411765,1.0892941176470587,9.549705882352942,0.2351176470588235,0.0305294117647058,53
2022,2,Buenos Aires,77.58,26.528081957882755,0.0352817302219692,1.9957427433124648,15.47873079112123,7.9626807057484355,0.7219521912350597,0.4042572566875355,66
2022,2,Capital Federal,121.31,49.18673076923077,0.06875,4.663173076923077,39.49442307692308,3.894423076923077,0.1845192307692307,1.0189423076923076,94
2022,2,Catamarca,62.4,15.583023255813952,0.0002325581395348,2.7739534883720927,2.1930232558139533,9.787674418604652,0.3090697674418605,0.5195348837209303,57
2022,2,Chaco,43.79,12.592894736842103,0.000438596491228,2.5922807017543863,5.375789473684211,3.701228070175439,0.7173684210526317,0.2066666666666667,51
2022,2,Chubut,83.19,26.9835,0.1506666666666666,7.562833333333334,11.540333333333333,1.5956666666666666,4.964,1.4713333333333334,15
2022,2,Córdoba,87.48,25.78811557788945,0.0017085427135678,4.502035175879397,11.74861809045226,7.761180904522613,1.53535175879397,0.2426381909547739,54
2022,2,Corrientes,48.35,12.082750000000004,0.0003333333333333,3.2056666666666667,6.3140833333333335,1.5150833333333331,0.6046666666666667,0.4435833333333333,43
2022,2,Entre Ríos,63.9,18.83426573426573,0.0015384615384615,4.461118881118882,9.162867132867133,2.5062237762237767,1.825034965034965,0.8805594405594407,40
2022,2,Formosa,43.42,11.128032786885246,0.0,2.5240983606557377,4.178196721311475,1.6188524590163935,2.772131147540984,0.0347540983606557,28
2022,2,Jujuy,57.32,14.41425,0.0,2.537875,6.811875000000001,4.273,0.494375,0.297125,29
2022,2,La Pampa,92.98,30.096216216216217,0.0462162162162162,2.107027027027027,16.01972972972973,6.214594594594594,5.45945945945946,0.3416216216216216,16
2022,2,La Rioja,80.14,22.638421052631585,0.0010526315789473,2.041842105263158,13.85684210526316,5.049736842105263,1.6828947368421052,0.0081578947368421,43
